n,dijkstra_mean,dijkstra_std,heap_mean,heap_std,duan_mean,duan_std
1000,0.02959549659994991,0.00011125837710073387,0.0015590620000239142,5.254316236435942e-06,0.01398810500008949,7.063322325892301e-05
2000,0.12304114040002787,0.004457819809837959,0.0032989871999689058,7.965662495773407e-06,0.014883233199998357,0.00011162376760141396
3000,0.25750805940001553,0.0039103121380058645,0.0050597576000200204,1.2394087602245536e-05,0.05348477040001853,0.000354614465669769
4000,0.5291920220000066,0.022648042143977136,0.008314061399914863,0.0007466326382800156,0.06320358499997383,0.0011342052827255835
5000,0.839223825199997,0.02716597035903042,0.010776747799945951,0.00025405531599371497,0.06057239679994382,0.0019411964965431244
6000,1.136192991200005,0.06639998417066598,0.015514616800010117,0.0011787010112866004,0.06540948499991828,0.003176398394608839
7000,1.5854660722000062,0.08022212545287159,0.013905369599979168,0.0004018414199837049,0.06311794139992344,0.0016394754040427008
8000,2.063512295800001,0.060882966409577126,0.0196037315999547,0.002435225445686108,0.05982637540000724,0.0005570930111541448
9000,2.5771283965999827,0.03490558469456244,0.019304319999992003,0.0018524002140014601,0.06365395939997143,0.0025193787012368703
10000,3.3279816523999672,0.07956986907422262,0.02234144539997942,0.0019151838025125785,0.06195544260008319,0.00046097011942251447
11000,4.019770557999936,0.14841676856203379,0.026029900999992604,0.005227709510199478,0.06654645819999132,0.0034460379154559223
12000,4.31483653700011,0.02122866350950322,0.024187125800017382,0.00015143065301973765,0.06069964819998859,0.0003635292489315486
13000,5.129228479999983,0.0700307827646505,0.026304242800051725,9.134803578101249e-05,0.06151383260012153,0.00023986998054275466
14000,5.872715383200012,0.04504921895075463,0.02829558960011127,0.00011796634702239197,0.063282648600034,0.00014032239669080143
15000,6.8538468488000035,0.03926311898403011,0.031311627000013685,9.55256738708027e-05,0.06285415840002315,0.00012507492611563319
16000,7.889342068599854,0.019270730423277437,0.033958279000034966,0.0001224157626475014,0.06293317859999661,0.00024898925238663603
17000,8.993912120399909,0.04751942908976584,0.03685441660009019,0.00015072254543580885,0.062936233200071,0.0002103138594958654
18000,10.177803755199966,0.034419573228055375,0.038454928000010116,0.00013301647066303628,0.06249027120002211,0.00022874242213418615
19000,11.674772632800067,0.39846847659660495,0.04142134880012236,0.00014292699057336415,0.06374129539999558,0.000148362498911134
20000,12.746495642599985,0.015150456618453479,0.045693004399981876,0.0005032374667439647,0.06335751559990968,0.00012108469692082336
21000,14.125031836199923,0.11180263854883071,0.04737134199995126,0.00015884665765508678,0.06346948820000761,0.00044574740299695327
22000,14.872808261599857,0.06376225423600532,0.051117645800059106,0.0006342669174562687,0.06749469760015928,0.0004155404972676701
23000,16.343927390000044,0.05095677277885571,0.055483637799898136,0.00026628609432280745,0.0640950580000208,0.00015663108379481195
24000,17.689104634999968,0.08893848579735548,0.05741957800000819,0.0002375381964573465,0.06703117739998561,0.00024517655941808304
25000,19.180165776600006,0.10459688431268577,0.06027333140000337,0.00047567682369484927,0.06535876480002116,0.00015603735990247413
